Accession_Number	Clonal_Complex	Country_Isolation	Country_Patient_Birth	Gnumber	Host	Map	SIB_Number	Sample.included.in.Loiseau.et.al..2020	Sequence_origin
ERS2573045	af1	Nigeria	Nigeria	G02538	Human	1	SB0944	1	public repositories
ERR1203064	af1	Ghana		G08506	Human	1	SB0944	1	public repositories
ERR502499	af1	Ghana		G08621	Human	1	SB1025	1	public repositories
ERR502526	af1	Ghana		G08645	Human	1	New pattern	1	public repositories
ERR502529	af1	Ghana		G08648	Human	1	SB0944	1	public repositories
ERR502538	af1	Ghana		G08654	Human	1	SB0944	1	public repositories
ERR553061	af1	Germany		G13968	Human	0	SB0944	1	public repositories
ERR2515016	af1	United Kingdom		G36740	Human	0	SB1027	1	public repositories
ERR4769567	af1	Mali		G66533		1	SB0300	0	public repositories
ERR3458084	af2	Ethiopia		G00229	Human	1	SB1984	1	public repositories
ERR3458085	af2	Ethiopia		G00234	Human	1	SB0133	1	public repositories
ERR3458086	af2	Ethiopia		G00244	Human	1	SB0303	1	public repositories
ERR3458080	af2	Ethiopia		G00370	Cattle	1	New pattern	1	public repositories
ERR3458081	af2	Ethiopia		G00371	Cattle	1	SB1477	1	public repositories
ERR3458087	af2	Burundi		G00396	Cattle	1	SB0303	1	public repositories
SRR1173570	af2	Uganda		G22538	chimpanzee	1	SB0133	1	public repositories
ERR1200622	af2	Ethiopia		G26444		0	SB0303	1	public repositories
SRR1791710	af2	Tanzania		G36917	Primate	1	SB2467	1	public repositories
SRR1791712	af2	Tanzania		G36919	Primate	1	SB2467	1	public repositories
SRR8065069	af2	Uganda		G41490	Bos taurus	1	SB1469	1	public repositories
SRR8065070	af2	Uganda		G41491	Bos taurus	1	SB1471	1	public repositories
SRR8065071	af2	Uganda		G41492	Bos taurus	1	SB1469	1	public repositories
SRR8065073	af2	Uganda		G41494	Bos taurus	1	SB0133	1	public repositories
SRR8065074	af2	Uganda		G41495	Bos taurus	1	SB0133	1	public repositories
SRR8065078	af2	Uganda		G41499	Bos taurus	1	SB1469	1	public repositories
SRR8065079	af2	Uganda		G41500	Bos taurus	1	SB1469	1	public repositories
SRR8065080	af2	Uganda		G41501	Bos taurus	1	SB0133	1	public repositories
SRR8065081	af2	Uganda		G41502	Bos taurus	1	SB0133	1	public repositories
SRR8065082	af2	Uganda		G41503	Bos taurus	1	SB1469	1	public repositories
SRR8065084	af2	Uganda		G41505	Bos taurus	1	SB0133	1	public repositories
SRR8065085	af2	Uganda		G41506	Bos taurus	1	SB1469	1	public repositories
SRR8065086	af2	Uganda		G41507	Bos taurus	1	SB1469	1	public repositories
SRR8065087	af2	Uganda		G41508	Bos taurus	1	SB1469	1	public repositories
SRR8063651	af2	Ethiopia		G41517	Bos taurus	1	SB0133	1	public repositories
SRR8063652	af2	Ethiopia		G41518	Bos taurus	1	SB0912	1	public repositories
SRR8063653	af2	Ethiopia		G41519	Bos taurus	1	SB1176	1	public repositories
