G_NUMBER	DATE_ISOLATION	COUNTRY_ISOLATION	Region	ClonalComplex
G00130		Unknown	unknown	orygis
G00208	2007-01-01 00:00:00.000	Ethiopia	Eastern Africa	unk2
G00229	2009-01-01 00:00:00.000	Ethiopia	Eastern Africa	af2
G00234	2009-01-01 00:00:00.000	Ethiopia	Eastern Africa	af2
G00244	2010-01-01 00:00:00.000	Ethiopia	Eastern Africa	af2
G00370	2007-01-01 00:00:00.000	Ethiopia	Eastern Africa	af2
G00371	2008-01-01 00:00:00.000	Ethiopia	Eastern Africa	af2
G00373	2007-01-01 00:00:00.000	Ethiopia	Eastern Africa	unk8
G00396	1993-12-01 00:00:00.000	Burundi	Eastern Africa	af2
G01032		Unknown	unknown	unk2
G01033		United Kingdom	Northern Europe	unk2
G01034		Unknown	unknown	unk2
G01035		Unknown	unknown	unk2
G01036		Unknown	unknown	unk2
G01037		Unknown	unknown	unk2
G01038		Unknown	unknown	unk2
G01039		Unknown	unknown	unk2
G01040		Unknown	unknown	unk2
G01041		Unknown	unknown	unk2
G01224		Australia	Oceania	orygis
G01225		Australia	Oceania	orygis
G01226		Australia	Oceania	orygis
G01227		Australia	Oceania	orygis
G01551		Unknown	unknown	unk2
G02538	2005-01-01 00:00:00.000	Switzerland	Western Europe	af1
G02545	2000-01-01 00:00:00.000	Switzerland	Western Europe	unk2
G04143	2003-01-01 00:00:00.000	Malawi	Eastern Africa	PZA_sus
G04145	2005-01-01 00:00:00.000	Malawi	Eastern Africa	PZA_sus
G04147	1999-01-01 00:00:00.000	Malawi	Eastern Africa	PZA_sus
G04148		Russia	Eastern Europe	unk3
G04149		Russia	Eastern Europe	orygis
G04150		Russia	Eastern Europe	orygis
G04151		Russia	Eastern Europe	orygis
G04156	2006-01-01 00:00:00.000	UK	Northern Europe	orygis
G04157		Russia	Eastern Europe	eu1
G08466	2013-01-01 00:00:00.000	Ghana	Western Africa	L6
G08506		Ghana	Western Africa	af1
G08621		Ghana	Western Africa	af1
G08645		Ghana	Western Africa	af1
G08648		Ghana	Western Africa	af1
G08654		Ghana	Western Africa	af1
G13058	2011-01-01 00:00:00.000	United Kingdom	Northern Europe	eu1
G13125		United Kingdom	Northern Europe	eu1
G13253		Germany	Western Europe	unk4
G13311		Germany	Western Europe	eu2
G13329	2006-01-01 00:00:00.000	Germany	Western Europe	unk4
G13389	2008-01-01 00:00:00.000	Germany	Western Europe	unk4
G13403	2009-01-01 00:00:00.000	Germany	Western Europe	unk3
G13622	2007-01-01 00:00:00.000	Germany	Western Europe	unk4
G13968	2009-01-01 00:00:00.000	Germany	Western Europe	af1
G14219		United Kingdom	Northern Europe	eu1
G14221		United Kingdom	Northern Europe	eu1
G14722		United Kingdom	Northern Europe	orygis
G15298		United Kingdom	Northern Europe	orygis
G15359		United Kingdom	Northern Europe	orygis
G15428		United Kingdom	Northern Europe	orygis
G15466		United Kingdom	Northern Europe	orygis
G15488		United Kingdom	Northern Europe	eu1
G16000	2005-01-01 00:00:00.000	United Kingdom	Northern Europe	eu1
G16001	2008-01-01 00:00:00.000	United Kingdom	Northern Europe	eu1
G16092	2005-01-01 00:00:00.000	United Kingdom	Northern Europe	eu1
G16096	2010-01-01 00:00:00.000	United Kingdom	Northern Europe	eu1
G22057	2005-01-01 00:00:00.000	UK	Northern Europe	eu1
G22121	2011-01-01 00:00:00.000	UK	Northern Europe	eu1
G22232	2002-01-01 00:00:00.000	New Zealand	Oceania	eu1
G22251	1984-01-01 00:00:00.000	New Zealand	Oceania	eu1
G22274	1997-01-01 00:00:00.000	New Zealand	Oceania	eu1
G22309	2002-01-01 00:00:00.000	New Zealand	Oceania	eu1
G22318	1999-01-01 00:00:00.000	New Zealand	Oceania	eu1
G22319	2001-01-01 00:00:00.000	New Zealand	Oceania	eu1
G22348	1997-01-01 00:00:00.000	New Zealand	Oceania	eu1
G22367	1996-01-01 00:00:00.000	New Zealand	Oceania	eu1
G22396	1997-01-01 00:00:00.000	New Zealand	Oceania	eu1
G22403	1998-01-01 00:00:00.000	New Zealand	Oceania	eu1
G22423	2000-01-01 00:00:00.000	New Zealand	Oceania	eu1
G22428	1994-01-01 00:00:00.000	New Zealand	Oceania	eu1
G22439	2005-01-01 00:00:00.000	New Zealand	Oceania	eu1
G22443	2002-01-01 00:00:00.000	New Zealand	Oceania	eu1
G22461	1999-01-01 00:00:00.000	New Zealand	Oceania	eu1
G22462	2001-01-01 00:00:00.000	New Zealand	Oceania	eu1
G22475	1985-01-01 00:00:00.000	New Zealand	Oceania	eu1
G22478	1993-01-01 00:00:00.000	New Zealand	Oceania	eu1
G22497	2007-01-01 00:00:00.000	New Zealand	Oceania	eu1
G22513		USA	Northern America	orygis
G22514		USA	Northern America	orygis
G22515		USA	Northern America	orygis
G22516		USA	Northern America	orygis
G22517		USA	Northern America	orygis
G22518		USA	Northern America	orygis
G22519		USA	Northern America	orygis
G22520		USA	Northern America	orygis
G22538	2007-04-06 00:00:00.000	Uganda	Eastern Africa	af2
G26444		Ethiopia	Eastern Africa	af2
G26559		South Africa	Southern Africa	orygis
G26560		Netherlands	Western Europe	orygis
G26561		Netherlands	Western Europe	orygis
G26562			unknown	orygis
G26563	1994-03-19 00:00:00.000	South Asia	Southern Asia	orygis
G26564		Netherlands	Western Europe	orygis
G26565	1996-09-02 00:00:00.000	South Asia	Southern Asia	orygis
G26566	1997-07-28 00:00:00.000	South Asia	Southern Asia	orygis
G26567	2000-09-05 00:00:00.000	Southeast Asia	Southeastern Asia	orygis
G26568	2001-09-19 00:00:00.000	South Asia	Southern Asia	orygis
G26569	2002-03-03 00:00:00.000	South Asia	Southern Asia	orygis
G26570			unknown	orygis
G26571	2007-03-09 00:00:00.000	South Asia	Southern Asia	orygis
G26572			unknown	orygis
G28351		Bangladesh	Southern Asia	orygis
G36314	1985-01-01 00:00:00.000	Canada	Northern America	eu1
G36315	2002-01-01 00:00:00.000	Canada	Northern America	eu2
G36316	2006-01-01 00:00:00.000	Canada	Northern America	eu1
G36317	2008-01-01 00:00:00.000	Canada	Northern America	eu1
G36378		Spain	Southern Europe	unk2
G36379		Spain	Southern Europe	unk2
G36380		Spain	Southern Europe	unk2
G36381		Spain	Southern Europe	unk2
G36382		Spain	Southern Europe	unk2
G36383		Spain	Southern Europe	unk2
G36384		Spain	Southern Europe	unk2
G36385		Eritrea	Eastern Africa	unk2
G36386		Eritrea	Eastern Africa	unk2
G36387		Eritrea	Eastern Africa	unk2
G36388		Eritrea	Eastern Africa	unk2
G36389		Eritrea	Eastern Africa	unk2
G36390		Eritrea	Eastern Africa	unk2
G36391		Eritrea	Eastern Africa	unk2
G36392		Eritrea	Eastern Africa	unk2
G36393		Eritrea	Eastern Africa	unk2
G36394		Eritrea	Eastern Africa	unk2
G36395		Eritrea	Eastern Africa	unk2
G36396		Eritrea	Eastern Africa	unk2
G36397		Eritrea	Eastern Africa	unk2
G36398		Eritrea	Eastern Africa	unk2
G36399		Ethiopia	Eastern Africa	unk2
G36400		Ethiopia	Eastern Africa	unk2
G36401	2010-01-01 00:00:00.000	Brazil	South America	eu2
G36402	2015-01-01 00:00:00.000	Mexico	Central America	eu2
G36403	2015-01-01 00:00:00.000	Mexico	Central America	eu2
G36405	2015-01-01 00:00:00.000	Mexico	Central America	eu1
G36420	2015-01-01 00:00:00.000	Mexico	Central America	eu1
G36437	2015-01-01 00:00:00.000	Mexico	Central America	eu1
G36438	2015-01-01 00:00:00.000	Mexico	Central America	eu1
G36439	2015-01-01 00:00:00.000	Mexico	Central America	eu1
G36454	2011-01-01 00:00:00.000	Mexico	Central America	eu1
G36476	2015-01-01 00:00:00.000	Mexico	Central America	eu1
G36537	2015-01-01 00:00:00.000	Mexico	Central America	eu1
G36556	2015-01-01 00:00:00.000	Mexico	Central America	eu2
G36557	2015-01-01 00:00:00.000	Mexico	Central America	eu2
G36564	2015-01-01 00:00:00.000	Mexico	Central America	eu1
G36565	2015-01-01 00:00:00.000	Mexico	Central America	eu1
G36574	1998-01-01 00:00:00.000	South Africa	Southern Africa	eu2
G36575	1997-01-01 00:00:00.000	South Africa	Southern Africa	eu1
G36576	1997-01-01 00:00:00.000	South Africa	Southern Africa	eu2
G36577	1999-01-01 00:00:00.000	South Africa	Southern Africa	eu2
G36578	1998-01-01 00:00:00.000	South Africa	Southern Africa	eu2
